GameId,TotalElapsedTime,GD,MD,win_before,loss_before,tie-win_before,tie-loss_before,win_after,loss_after,tie-win_after,tie-loss_after,reward
2012020037,1265,2,-1,1,16,1,1,49,172,36,42,0.445872205597606
2012020037,1944,1,0,41,135,15,47,117,117,61,61,0.5032810877159852
2012020037,1990,0,0,97,97,60,60,146,41,46,29,0.3852530753148247
2012020037,3337,1,0,2,177,19,22,30,30,118,118,1.1077395577395577
2012020037,3627,0,0,0,0,162,162,0,0,0,0,0.5
2012020038,1580,0,0,128,128,52,52,166,54,47,42,0.3701186623516721
2012020038,1700,1,1,27,7,4,4,96,6,3,7,0.2589285714285713
2012020038,1860,2,0,5,105,9,9,45,145,35,48,0.472842261904762
2012020038,2163,1,-1,6,27,1,6,104,104,64,64,0.6904761904761905
2012020039,1530,0,0,137,137,58,58,165,55,44,43,0.35291071577716526
2012020039,1647,-1,0,52,150,33,44,137,137,57,57,0.3798821268891106
2012020039,2122,0,0,98,98,57,57,134,40,39,31,0.3612109994711792
2012020039,2661,1,2,1,0,0,0,7,0,1,0,0
2012020039,3001,2,0,132,1,3,5,86,0,1,0,0.049645390070921884
2012020039,3302,3,0,91,0,0,0,46,0,0,0,0
2012020040,132,0,0,455,455,147,147,65,24,9,7,0.3540974529346623
2012020040,519,1,0,50,149,26,27,279,279,95,95,0.4166878872761226
2012020040,584,0,0,243,243,86,86,153,57,32,14,0.36930091185410335
2012020040,768,1,0,145,53,22,30,51,9,8,4,0.23844444444444432
2012020040,1904,2,-1,1,20,1,1,43,139,32,48,0.5383338864918685
2012020040,1990,1,0,39,137,28,44,99,99,62,62,0.4748046483670607
2012020040,2603,0,0,92,92,66,66,160,24,38,35,0.4681820420627494
2012020040,2675,-1,0,147,9,35,30,145,0,7,8,0.16719457013574662
2012020040,3080,-2,0,121,1,1,5,91,0,1,0,0.0546875
2012020040,3467,-3,0,0,90,0,0,0,141,1,2,0.027777777777777776
2012020040,3530,-2,1,9,0,0,0,13,0,0,0,0
2012020041,1913,0,0,118,118,57,57,140,46,50,33,0.37245884227296877
